Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/290 [00:00<?, ?it/s]Loading weights: 100%|##########| 290/290 [00:00<00:00, 14501.22it/s]
loaded; total_mlp_neurons=116736
[capture] task=coding activation shape on layer0: (1, 62, 4864) (B,S,intermediate)
[capture] task=math activation shape on layer0: (1, 20, 4864) (B,S,intermediate)
core neurons: 253
[sweep] step=0 control=low seed=None frac=0.0000 nll_target=0.8191336803138256 acc_target=0.75
[sweep] step=0 control=random seed=0 frac=0.0000 nll_target=0.8191336803138256 acc_target=0.75
[sweep] step=0 control=random seed=1 frac=0.0000 nll_target=0.8191336803138256 acc_target=0.75
[sweep] step=0 control=random seed=2 frac=0.0000 nll_target=0.8191336803138256 acc_target=0.75
[sweep] step=1/498 control=low seed=None frac=0.0010 nll_target=0.7612133845686913 acc_target=None elapsed=141.5s
[sweep] step=1/498 control=random seed=0 frac=0.0010 nll_target=0.8072728998959064 acc_target=None elapsed=142.5s
[sweep] step=1/498 control=random seed=1 frac=0.0010 nll_target=0.7982981614768505 acc_target=None elapsed=143.5s
[sweep] step=1/498 control=random seed=2 frac=0.0010 nll_target=0.8383052982389927 acc_target=None elapsed=144.5s
[sweep] step=2/498 control=low seed=None frac=0.0020 nll_target=0.7640973255038261 acc_target=None elapsed=145.5s
[sweep] step=2/498 control=random seed=0 frac=0.0020 nll_target=0.8055715840309858 acc_target=None elapsed=146.5s
[sweep] step=2/498 control=random seed=1 frac=0.0020 nll_target=0.8029610179364681 acc_target=None elapsed=147.5s
[sweep] step=2/498 control=random seed=2 frac=0.0020 nll_target=0.8381068557500839 acc_target=None elapsed=148.5s
[sweep] step=3/498 control=low seed=None frac=0.0030 nll_target=0.7727117091417313 acc_target=None elapsed=149.4s
[sweep] step=3/498 control=random seed=0 frac=0.0030 nll_target=0.8295164499431849 acc_target=None elapsed=150.4s
[sweep] step=3/498 control=random seed=1 frac=0.0030 nll_target=0.8056501522660255 acc_target=None elapsed=151.3s
[sweep] step=3/498 control=random seed=2 frac=0.0030 nll_target=0.8379296083003283 acc_target=None elapsed=152.3s
[sweep] step=4/498 control=low seed=None frac=0.0040 nll_target=0.7678486313670874 acc_target=None elapsed=153.3s
[sweep] step=4/498 control=random seed=0 frac=0.0040 nll_target=0.8257354311645031 acc_target=None elapsed=154.2s
[sweep] step=4/498 control=random seed=1 frac=0.0040 nll_target=0.7978985644876957 acc_target=None elapsed=155.2s
[sweep] step=4/498 control=random seed=2 frac=0.0040 nll_target=0.8206996247172356 acc_target=None elapsed=156.2s
